Shift,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
morning,11,11,11,11,11,0,0,11,11,11,11,11,0,0,11,0,0,0,0,0,0,11,11,11,11,11,6,0,11,11
afternoon,11,11,11,11,11,0,0,11,11,11,11,11,0,7,11,0,0,0,0,0,0,11,11,11,11,11,0,6,11,11
night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
